pdf_id,document,pdf_name,rejected,reject_reason,pages_read,extraction_time_sec,raw_chars,raw_words,clean_chars,reduction_pct,chunk_count,tokens_total,keyword_time_sec,classify_time_sec,summarize_time_sec,inference_time_sec,total_time_sec,peak_ram_mb,peak_vram_mb,prompt_tokens,generated_tokens,tokens_per_sec,predicted_label,confidence,keywords,summary
035f18484afe1684,https://cybermagazine.com/news/public-sector-london-council-cyberattack.pdf,https%3A%2F%2Fcybermagazine.com%2Fnews%2Fpublic-sector-london-council-cyberattack.pdf,False,,1,0.09400000000005093,6755,1035,6754,0.01,1,,13.438000000000102,23.125,9.063000000000102,45.626,45.736,4880.6,779.3,418,41,5.73,"Threats, Attacks & Vulnerabilities",0.9140044450759888,"[['cybercriminals', 0.7727], ['fostering', 0.7319], ['vulnerability', 0.7251], ['sophisticated', 0.7165], ['criminals', 0.7128]]","A cyber attack on Kensington and Chelsea Council highlights the significant and growing risks facing public sector organizations due to their reliance on aging infrastructure and the sensitive data they hold, emphasizing the urgent need for enhanced security investments."
1f79080fb6a2c26e,https://blogs.nvidia.com/blog/bluefield-cybersecurity-acceleration-enterprise-ai-factory-validated-design/.pdf,https%3A%2F%2Fblogs.nvidia.com%2Fblog%2Fbluefield-cybersecurity-acceleration-enterprise-ai-factory-validated-design%2F.pdf,False,,1,0.015000000000327418,7502,1074,7501,0.01,1,,11.04699999999957,20.34400000000005,6.82799999999952,38.219,38.266,4885.3,779.3,365,53,7.78,Security Technology & Industry,0.9550689458847046,"[['breakthroughs', 0.7193], ['cloudspaletteai', 0.717], ['theplatform', 0.713], ['workloads', 0.7113], ['cybersecurity', 0.7042]]","NVIDIA has expanded its Enterprise AI Factory validated design to include leading cybersecurity and infrastructure software, such as Armis, Check Point, and Fortinet, integrated with NVIDIA BlueField to provide zero-trust, hardware-accelerated security and enhanced performance for AI workloads."
30997c67cbd6441d,https://cybermagazine.com/news/will-servicenow-armis-deal-reshape-ai-security.pdf,https%3A%2F%2Fcybermagazine.com%2Fnews%2Fwill-servicenow-armis-deal-reshape-ai-security.pdf,False,,1,0.0,7479,1112,7478,0.01,1,,11.265000000000327,7.203000000000429,4.42200000000048,22.89,22.921,4889.5,779.3,197,46,10.44,Security Technology & Industry,0.9586524367332458,"[['vulnerability', 0.7144], ['fostering', 0.7135], ['ecosystems', 0.7028], ['agentic', 0.6981], ['acquiring', 0.6981]]","ServiceNow's acquisition of Armis aims to create a stronger, unified platform that enhances intelligent trust and governance across all environments to continuously reduce risk through prioritized vulnerability remediation and automated response in the face of accelerating AI-driven threats."
3d49c0265cb90cef,https://www.lanl.gov/media/news/0305-ai-adversarial-attacks.pdf,https%3A%2F%2Fwww.lanl.gov%2Fmedia%2Fnews%2F0305-ai-adversarial-attacks.pdf,True,too_short,1,0.01599999999962165,198,25,0,100.0,,,0.0,0.0,0.0,0.0,0.016,917.7,0.0,,,,,,,
43e2b68dd946c1db,https://www.ncsl.org/technology-and-communication/artificial-intelligence-2025-legislation.pdf,https%3A%2F%2Fwww.ncsl.org%2Ftechnology-and-communication%2Fartificial-intelligence-2025-legislation.pdf,True,too_short,1,0.015000000000327418,280,30,0,100.0,,,0.0,0.0,0.0,0.0,0.031,917.7,0.0,,,,,,,
4c6a368db6e99fa8,https://calmatters.org/economy/technology/2025/12/california-ai-regulation-targeted-in-trump-order/.pdf,https%3A%2F%2Fcalmatters.org%2Feconomy%2Ftechnology%2F2025%2F12%2Fcalifornia-ai-regulation-targeted-in-trump-order%2F.pdf,False,,1,0.0,8499,1341,8498,0.01,1,,11.640999999999622,7.20299999999952,7.296999999999571,26.141,26.188,4897.5,779.3,454,38,5.22,AI Governance & Policy,0.8483943939208984,"[['californians', 0.7547], ['vulnerable', 0.7527], ['calmatters', 0.7503], ['somodevilla', 0.7417], ['polls', 0.7368]]","Trump's new executive order targeting AI regulation is particularly concerning for California, where the state has already implemented extensive AI rules and where nearly 80% of residents prioritize safety over innovation."
5481a382c69d0292,https://awww.crowdstrike.com/en-us/blog/crowdstrike-to-acquire-sgnl/.pdf,https%3A%2F%2Fawww.crowdstrike.com%2Fen-us%2Fblog%2Fcrowdstrike-to-acquire-sgnl%2F.pdf,False,,1,0.032000000000152795,8878,1217,8877,0.01,1,,16.23400000000038,7.203000000000429,8.061999999999898,31.499,31.561,4904.4,779.3,562,21,2.61,Security Technology & Industry,0.8469785451889038,"[['stakeholders', 0.7155], ['kuppingercole', 0.7135], ['vulnerability', 0.7112], ['crowdstrikes', 0.7105], ['threaten', 0.7084]]",CrowdStrike is acquiring SGNL to enhance its ability to secure every identity in the AI era.
5e92765087375319,https://bwawww.testing.pdf,https%3A%2F%2Fbwawww.testing.pdf,False,,1,0.014999999999417923,3407,520,3405,0.06,1,,6.2039999999997235,20.328999999999724,5.266000000000531,31.799,31.83,4908.6,779.3,278,40,7.6,Security Technology & Industry,0.9782395362854004,"[['sdxcentral', 0.7436], ['terabytes', 0.7355], ['assistants', 0.7306], ['agentic', 0.7281], ['xcelerated', 0.7273]]","Snowflake is acquiring the AI security firm Observe to integrate its observability platform directly into Snowflake's AI Data Cloud, enabling customers to manage enterprise-wide telemetry with AI-powered troubleshooting for AI agents."
7125b36e7319cc78,https://www.obiectiv.info/?y-news-25848389-2026-01-10-congobet-unexpected-turn-critical-review-sports-economy.pdf,https%3A%2F%2Fwww.obiectiv.info%2F%3Fy-news-25848389-2026-01-10-congobet-unexpected-turn-critical-review-sports-economy.pdf,True,too_short,1,0.0,185,12,0,100.0,,,0.0,0.0,0.0,0.0,0.032,917.7,0.0,,,,,,,
80382aadc800b9c2,https://blog.freshfields.us/post/102lzgo/ai-supply-chain-and-security-congress-mandates-strict-controls-for-ai-acquired-b.pdf,https%3A%2F%2Fblog.freshfields.us%2Fpost%2F102lzgo%2Fai-supply-chain-and-security-congress-mandates-strict-controls-for-ai-acquired-b.pdf,False,,1,0.016000000000531145,8975,1322,8974,0.01,1,,12.234000000000378,7.186999999999898,4.858999999999469,24.28,24.312,4912.7,779.3,262,37,7.64,Security Technology & Industry,0.5746892690658569,"[['satisfy', 0.7396], ['prohibitions', 0.733], ['russian', 0.7304], ['castellano', 0.7235], ['anymore', 0.7234]]","Congress is mandating strict controls over AI acquired by U.S. defense and intelligence agencies, continuing a trend of using NDAA prohibitions to restrict covered technologies from certain countries and companies."
